,Name,Rank,Link,Geek Rating,Average ratings,Voters,min_layers,max_layers,min_duration,max_duration,weight
0,Brass: Birmingham,1,https://boardgamegeek.com/boardgame/224517/brass-birmingham,8.413,8.59,48020.0,2,4,60,120,3.87
1,Pandemic Legacy: Season 1,2,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,8.376,8.52,54158.0,2,4,60,na,2.83
2,Gloomhaven,3,https://boardgamegeek.com/boardgame/174430/gloomhaven,8.344,8.58,63133.0,1,4,60,120,3.91
3,Ark Nova,4,https://boardgamegeek.com/boardgame/342942/ark-nova,8.34,8.54,46419.0,1,4,90,150,3.78
4,Twilight Imperium: Fourth Edition,5,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,8.237,8.59,24561.0,3,6,240,480,4.33
5,Dune: Imperium,6,https://boardgamegeek.com/boardgame/316554/dune-imperium,8.231,8.43,47945.0,1,4,60,120,3.06
6,Terraforming Mars,7,https://boardgamegeek.com/boardgame/167791/terraforming-mars,8.207,8.35,101456.0,1,5,120,na,3.27
7,War of the Ring: Second Edition,8,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition,8.191,8.55,22014.0,2,4,150,180,4.21
8,Star Wars: Rebellion,9,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,8.169,8.42,33165.0,2,4,180,240,3.74
9,Gloomhaven: Jaws of the Lion,10,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion,8.152,8.42,35491.0,1,4,30,120,3.64
10,Spirit Island,11,https://boardgamegeek.com/boardgame/162886/spirit-island,8.145,8.34,53540.0,1,4,90,120,4.07
11,Gaia Project,12,https://boardgamegeek.com/boardgame/220308/gaia-project,8.109,8.37,27916.0,1,4,60,150,4.4
12,Twilight Struggle,13,https://boardgamegeek.com/boardgame/12333/twilight-struggle,8.065,8.24,49355.0,2,na,120,180,3.61
13,Through the Ages: A New Story of Civilization,14,https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization,8.05,8.28,32228.0,2,4,120,na,4.44
14,Great Western Trail,15,https://boardgamegeek.com/boardgame/193738/great-western-trail,8.018,8.19,41433.0,2,4,75,150,3.7
15,The Castles of Burgundy,16,https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy,8.016,8.14,63451.0,2,4,30,90,2.97
16,Scythe,17,https://boardgamegeek.com/boardgame/169786/scythe,7.983,8.13,85172.0,1,5,90,115,3.45
17,Eclipse: Second Dawn for the Galaxy,18,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy,7.979,8.45,14260.0,2,6,60,200,3.65
18,7 Wonders Duel,19,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,7.97,8.09,97089.0,2,na,30,na,2.23
19,Brass: Lancashire,20,https://boardgamegeek.com/boardgame/28720/brass-lancashire,7.963,8.2,25343.0,2,4,60,120,3.85
20,Nemesis,21,https://boardgamegeek.com/boardgame/167355/nemesis,7.952,8.26,31685.0,1,5,90,180,3.48
21,Clank! Legacy: Acquisitions Incorporated,22,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated,7.948,8.53,9721.0,2,4,90,120,2.73
22,A Feast for Odin,23,https://boardgamegeek.com/boardgame/177736/a-feast-for-odin,7.944,8.17,29328.0,1,4,30,120,3.86
23,Concordia,24,https://boardgamegeek.com/boardgame/124361/concordia,7.941,8.09,41287.0,2,5,100,na,2.99
24,Frosthaven,25,https://boardgamegeek.com/boardgame/295770/frosthaven,7.914,8.82,7494.0,1,4,90,180,4.41
25,Great Western Trail: Second Edition,26,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition,7.906,8.32,13620.0,1,4,75,150,3.72
26,Arkham Horror: The Card Game,27,https://boardgamegeek.com/boardgame/205637/arkham-horror-the-card-game,7.901,8.13,43947.0,1,2,60,120,3.56
27,Lost Ruins of Arnak,28,https://boardgamegeek.com/boardgame/312484/lost-ruins-of-arnak,7.895,8.07,46148.0,1,4,30,120,2.93
28,Wingspan,29,https://boardgamegeek.com/boardgame/266192/wingspan,7.889,8.04,96467.0,1,5,40,70,2.47
29,Terra Mystica,30,https://boardgamegeek.com/boardgame/120677/terra-mystica,7.889,8.06,48524.0,2,5,60,150,3.97
30,Root,31,https://boardgamegeek.com/boardgame/237182/root,7.884,8.07,53442.0,2,4,60,90,3.82
31,Too Many Bones,32,https://boardgamegeek.com/boardgame/192135/too-many-bones,7.873,8.34,14079.0,1,4,60,120,3.86
32,Orléans,33,https://boardgamegeek.com/boardgame/164928/orleans,7.871,8.06,32068.0,2,5,90,na,3.02
33,Dune: Imperium – Uprising,34,https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising,7.867,8.74,6997.0,1,6,60,120,3.49
34,Mage Knight Board Game,35,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,7.852,8.09,33610.0,1,4,60,240,4.37
35,Barrage,36,https://boardgamegeek.com/boardgame/251247/barrage,7.85,8.16,18431.0,1,4,60,120,4.11
36,Everdell,37,https://boardgamegeek.com/boardgame/199792/everdell,7.841,8.02,56981.0,1,4,40,80,2.82
37,The Crew: Mission Deep Sea,38,https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea,7.841,8.13,18934.0,2,5,20,na,2.04
38,Viticulture Essential Edition,39,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,7.835,7.98,49817.0,1,6,45,90,2.89
39,Heat: Pedal to the Metal,40,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal,7.8,8.05,26056.0,1,6,30,60,2.19
40,Marvel Champions: The Card Game,41,https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game,7.798,8.12,24377.0,1,4,45,90,2.94
41,Food Chain Magnate,42,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,7.797,8.06,20832.0,2,5,120,240,4.19
42,Pax Pamir: Second Edition,43,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,7.792,8.18,14730.0,1,5,45,120,3.85
43,Underwater Cities,44,https://boardgamegeek.com/boardgame/247763/underwater-cities,7.783,8.06,20191.0,1,4,80,150,3.58
44,Kanban EV,45,https://boardgamegeek.com/boardgame/284378/kanban-ev,7.773,8.42,8080.0,1,4,60,180,4.3
45,Puerto Rico,46,https://boardgamegeek.com/boardgame/3076/puerto-rico,7.771,7.91,71579.0,3,5,90,150,3.27
46,Crokinole,47,https://boardgamegeek.com/boardgame/521/crokinole,7.77,8.04,18504.0,2,4,30,na,1.23
47,Cascadia,48,https://boardgamegeek.com/boardgame/295947/cascadia,7.765,7.94,41604.0,1,4,30,45,1.86
48,Caverna: The Cave Farmers,49,https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers,7.758,7.94,35254.0,1,7,30,210,3.78
49,Anachrony,50,https://boardgamegeek.com/boardgame/185343/anachrony,7.752,8.07,19164.0,1,4,30,120,4.01
50,On Mars,51,https://boardgamegeek.com/boardgame/184267/on-mars,7.751,8.18,13057.0,1,4,90,150,4.67
51,Pandemic Legacy: Season 0,52,https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0,7.751,8.39,7971.0,2,4,45,60,3.16
52,Blood Rage,53,https://boardgamegeek.com/boardgame/170216/blood-rage,7.749,7.92,47958.0,2,4,60,90,2.88
53,Agricola,54,https://boardgamegeek.com/boardgame/31260/agricola,7.744,7.87,73445.0,1,5,30,150,3.64
54,Sleeping Gods,55,https://boardgamegeek.com/boardgame/255984/sleeping-gods,7.737,8.19,12761.0,1,4,60,1200,3.24
55,Lisboa,56,https://boardgamegeek.com/boardgame/161533/lisboa,7.72,8.19,11421.0,1,4,60,120,4.58
56,Cthulhu: Death May Die,57,https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die,7.72,8.18,13193.0,1,5,90,120,2.48
57,Pandemic Legacy: Season 2,58,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,7.718,8.03,17132.0,2,4,60,na,3.25
58,Sky Team,59,https://boardgamegeek.com/boardgame/373106/sky-team,7.713,8.2,11329.0,2,na,15,na,2.06
59,Oathsworn: Into the Deepwood,60,https://boardgamegeek.com/boardgame/251661/oathsworn-into-the-deepwood,7.709,8.95,5172.0,1,4,30,90,3.66
60,Mansions of Madness: Second Edition,61,https://boardgamegeek.com/boardgame/205059/mansions-of-madness-second-edition,7.708,7.94,37022.0,1,5,120,180,2.7
61,Obsession,62,https://boardgamegeek.com/boardgame/231733/obsession,7.705,8.13,13372.0,1,4,30,90,3.1
62,Hegemony: Lead Your Class to Victory,63,https://boardgamegeek.com/boardgame/321608/hegemony-lead-your-class-to-victory,7.703,8.45,7446.0,2,4,90,180,4.19
63,Tzolk'in: The Mayan Calendar,64,https://boardgamegeek.com/boardgame/126163/tzolkin-the-mayan-calendar,7.698,7.86,39877.0,2,4,90,na,3.67
64,Grand Austria Hotel,65,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,7.698,7.95,21608.0,2,4,60,120,3.21
65,Power Grid,66,https://boardgamegeek.com/boardgame/2651/power-grid,7.696,7.81,66106.0,2,6,120,na,3.25
66,Maracaibo,67,https://boardgamegeek.com/boardgame/276025/maracaibo,7.69,8.0,16790.0,1,4,30,120,3.92
67,The Quacks of Quedlinburg,68,https://boardgamegeek.com/boardgame/244521/the-quacks-of-quedlinburg,7.68,7.82,51474.0,2,4,45,na,1.94
68,Clans of Caledonia,69,https://boardgamegeek.com/boardgame/216132/clans-of-caledonia,7.678,7.94,20737.0,1,4,30,120,3.46
69,Le Havre,70,https://boardgamegeek.com/boardgame/35677/le-havre,7.678,7.85,32078.0,1,5,30,150,3.71
70,Paladins of the West Kingdom,71,https://boardgamegeek.com/boardgame/266810/paladins-of-the-west-kingdom,7.675,7.98,18290.0,1,4,90,120,3.72
71,The Gallerist,72,https://boardgamegeek.com/boardgame/125153/the-gallerist,7.675,8.02,14940.0,1,4,60,150,4.22
72,Star Wars: Imperial Assault,73,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,7.666,7.96,24856.0,2,5,60,120,3.3
73,Android: Netrunner,74,https://boardgamegeek.com/boardgame/124742/android-netrunner,7.659,7.88,30329.0,2,na,45,na,3.41
74,Mechs vs. Minions,75,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,7.655,7.97,17621.0,2,4,60,120,2.45
75,The Crew: The Quest for Planet Nine,76,https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine,7.655,7.8,42878.0,2,5,20,na,1.96
76,Kingdom Death: Monster,77,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,7.648,8.49,9778.0,1,4,60,180,4.27
77,Agricola (Revised Edition),78,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition,7.641,7.95,18461.0,1,4,30,120,3.45
78,Azul,79,https://boardgamegeek.com/boardgame/230802/azul,7.632,7.74,93344.0,2,4,30,45,1.77
79,Race for the Galaxy,80,https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy,7.63,7.74,56124.0,2,4,30,60,2.99
80,Five Tribes: The Djinns of Naqala,81,https://boardgamegeek.com/boardgame/157354/five-tribes-the-djinns-of-naqala,7.622,7.77,42084.0,2,4,40,80,2.84
81,Age of Innovation,82,https://boardgamegeek.com/boardgame/383179/age-of-innovation,7.621,8.65,4805.0,1,5,40,200,4.26
82,Eclipse: New Dawn for the Galaxy,83,https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-for-the-galaxy,7.614,7.83,28515.0,2,6,60,180,3.7
83,Clank!: A Deck-Building Adventure,84,https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure,7.613,7.78,43208.0,2,4,30,60,2.23
84,Aeon's End,85,https://boardgamegeek.com/boardgame/191189/aeons-end,7.607,7.89,21275.0,1,4,60,na,2.8
85,Fields of Arle,86,https://boardgamegeek.com/boardgame/159675/fields-of-arle,7.603,8.03,11237.0,1,2,60,120,3.84
86,Teotihuacan: City of Gods,87,https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods,7.593,7.86,20288.0,1,4,90,120,3.77
87,Lords of Waterdeep,88,https://boardgamegeek.com/boardgame/110327/lords-of-waterdeep,7.591,7.73,56255.0,2,5,60,120,2.45
88,Beyond the Sun,89,https://boardgamegeek.com/boardgame/317985/beyond-the-sun,7.59,7.91,15175.0,2,4,60,120,3.13
89,Through the Ages: A Story of Civilization,90,https://boardgamegeek.com/boardgame/25613/through-the-ages-a-story-of-civilization,7.586,7.84,19477.0,2,4,120,na,4.18
90,El Grande,91,https://boardgamegeek.com/boardgame/93/el-grande,7.579,7.76,29682.0,2,5,60,120,2.95
91,Dominant Species,92,https://boardgamegeek.com/boardgame/62219/dominant-species,7.576,7.81,21472.0,2,6,120,240,4.04
92,Clank!: Catacombs,93,https://boardgamegeek.com/boardgame/365717/clank-catacombs,7.571,8.28,6932.0,2,4,45,90,2.5
93,Robinson Crusoe: Adventures on the Cursed Island,94,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island,7.569,7.74,44008.0,1,4,60,120,3.82
94,7 Wonders,95,https://boardgamegeek.com/boardgame/68448/7-wonders,7.569,7.68,106013.0,2,7,30,na,2.32
95,The Voyages of Marco Polo,96,https://boardgamegeek.com/boardgame/171623/the-voyages-of-marco-polo,7.569,7.78,25173.0,2,4,40,100,3.18
96,Concordia Venus,97,https://boardgamegeek.com/boardgame/256916/concordia-venus,7.565,8.29,6182.0,2,6,60,120,3.02
97,The Search for Planet X,98,https://boardgamegeek.com/boardgame/279537/the-search-for-planet-x,7.564,7.94,12947.0,1,4,60,75,2.42
98,Revive,99,https://boardgamegeek.com/boardgame/332772/revive,7.551,8.14,8110.0,1,4,90,120,3.43
99,Wingspan Asia,100,https://boardgamegeek.com/boardgame/366161/wingspan-asia,7.548,8.29,6627.0,1,2,40,70,2.67
100,SCOUT,101,https://boardgamegeek.com/boardgame/291453/scout,7.545,7.82,17491.0,2,5,20,na,1.36
101,Decrypto,102,https://boardgamegeek.com/boardgame/225694/decrypto,7.544,7.77,23442.0,3,8,15,45,1.83
102,Tainted Grail: The Fall of Avalon,103,https://boardgamegeek.com/boardgame/264220/tainted-grail-the-fall-of-avalon,7.542,8.08,12791.0,1,4,60,120,3.36
103,Inis,104,https://boardgamegeek.com/boardgame/155821/inis,7.539,7.83,20769.0,2,4,60,90,2.96
104,Battlestar Galactica: The Board Game,105,https://boardgamegeek.com/boardgame/37111/battlestar-galactica-the-board-game,7.538,7.73,36722.0,3,6,120,180,3.25
105,Architects of the West Kingdom,106,https://boardgamegeek.com/boardgame/236457/architects-of-the-west-kingdom,7.535,7.73,29770.0,1,5,60,80,2.76
106,Trickerion: Legends of Illusion,107,https://boardgamegeek.com/boardgame/163068/trickerion-legends-of-illusion,7.534,7.97,11204.0,2,4,60,180,4.25
107,Darwin's Journey,108,https://boardgamegeek.com/boardgame/322289/darwins-journey,7.529,8.17,7411.0,1,4,60,120,3.91
108,Carnegie,109,https://boardgamegeek.com/boardgame/310873/carnegie,7.527,8.01,9707.0,1,4,90,120,3.81
109,Keyflower,110,https://boardgamegeek.com/boardgame/122515/keyflower,7.521,7.72,23394.0,2,6,90,120,3.34
110,Raiders of the North Sea,111,https://boardgamegeek.com/boardgame/170042/raiders-of-the-north-sea,7.52,7.74,24564.0,2,4,60,80,2.57
111,Tigris & Euphrates,112,https://boardgamegeek.com/boardgame/42/tigris-and-euphrates,7.516,7.7,28912.0,2,4,60,120,3.5
112,Dominion: Intrigue,113,https://boardgamegeek.com/boardgame/40834/dominion-intrigue,7.515,7.69,33858.0,2,6,30,na,2.41
113,Splendor Duel,114,https://boardgamegeek.com/boardgame/364073/splendor-duel,7.514,7.92,12404.0,2,na,30,na,2.01
114,Caylus,115,https://boardgamegeek.com/boardgame/18602/caylus,7.513,7.71,29312.0,2,5,60,150,3.79
115,Lorenzo il Magnifico,116,https://boardgamegeek.com/boardgame/203993/lorenzo-il-magnifico,7.51,7.85,14095.0,2,4,60,120,3.29
116,Troyes,117,https://boardgamegeek.com/boardgame/73439/troyes,7.51,7.72,23810.0,1,4,90,na,3.45
117,Dwellings of Eldervale,118,https://boardgamegeek.com/boardgame/271055/dwellings-of-eldervale,7.509,8.15,7624.0,1,5,60,150,3.24
118,Eldritch Horror,119,https://boardgamegeek.com/boardgame/146021/eldritch-horror,7.509,7.75,36960.0,1,8,120,240,3.32
119,Mombasa,120,https://boardgamegeek.com/boardgame/172386/mombasa,7.505,7.85,13382.0,2,4,75,150,3.89
120,Final Girl,121,https://boardgamegeek.com/boardgame/277659/final-girl,7.505,8.27,7123.0,1,na,20,60,2.75
121,The Lord of the Rings: Journeys in Middle-Earth,122,https://boardgamegeek.com/boardgame/269385/the-lord-of-the-rings-journeys-in-middle-earth,7.504,7.91,16728.0,1,5,60,120,2.68
122,The Quest for El Dorado,123,https://boardgamegeek.com/boardgame/217372/the-quest-for-el-dorado,7.502,7.69,26819.0,2,4,30,60,1.94
123,The White Castle,124,https://boardgamegeek.com/boardgame/371942/the-white-castle,7.496,7.99,10477.0,1,4,80,na,3.02
124,The 7th Continent,125,https://boardgamegeek.com/boardgame/180263/the-7th-continent,7.493,7.8,22461.0,1,4,5,1000,2.9
125,Twilight Imperium: Third Edition,126,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition,7.492,7.79,19325.0,3,6,180,240,4.26
126,Patchwork,127,https://boardgamegeek.com/boardgame/163412/patchwork,7.486,7.59,67445.0,2,na,15,30,1.6
127,Russian Railroads,128,https://boardgamegeek.com/boardgame/144733/russian-railroads,7.483,7.73,18161.0,2,4,120,na,3.4
128,Trajan,129,https://boardgamegeek.com/boardgame/102680/trajan,7.483,7.75,17951.0,2,4,60,120,3.63
129,Dominion,130,https://boardgamegeek.com/boardgame/36218/dominion,7.48,7.6,91982.0,2,4,30,na,2.35
130,Ra,131,https://boardgamegeek.com/boardgame/12/ra,7.479,7.65,27019.0,2,5,45,60,2.32
131,Age of Steam,132,https://boardgamegeek.com/boardgame/4098/age-of-steam,7.478,7.85,11522.0,1,6,120,na,3.87
132,Rising Sun,133,https://boardgamegeek.com/boardgame/205896/rising-sun,7.473,7.77,21627.0,3,5,90,120,3.3
133,Hansa Teutonica,134,https://boardgamegeek.com/boardgame/43015/hansa-teutonica,7.47,7.74,15913.0,2,5,45,90,3.09
134,Aeon's End: War Eternal,135,https://boardgamegeek.com/boardgame/218417/aeons-end-war-eternal,7.466,8.25,5846.0,1,4,60,na,2.92
135,Nemesis: Lockdown,136,https://boardgamegeek.com/boardgame/310100/nemesis-lockdown,7.466,8.32,6116.0,1,5,90,180,3.89
136,Vinhos: Deluxe Edition,137,https://boardgamegeek.com/boardgame/175640/vinhos-deluxe-edition,7.464,8.09,7075.0,1,4,90,180,4.01
137,Great Western Trail: New Zealand,138,https://boardgamegeek.com/boardgame/380607/great-western-trail-new-zealand,7.463,8.59,3889.0,1,4,75,150,3.99
138,Clank! In! Space!: A Deck-Building Adventure,139,https://boardgamegeek.com/boardgame/233371/clank-in-space-a-deck-building-adventure,7.453,7.78,14740.0,2,4,45,90,2.58
139,Iberia,140,https://boardgamegeek.com/boardgame/198928/iberia,7.452,7.89,11013.0,2,5,45,na,2.6
140,Forbidden Stars,141,https://boardgamegeek.com/boardgame/175155/forbidden-stars,7.45,7.98,9405.0,2,4,120,180,3.84
141,Yokohama,142,https://boardgamegeek.com/boardgame/196340/yokohama,7.446,7.81,12003.0,2,4,90,na,3.29
142,Codenames,143,https://boardgamegeek.com/boardgame/178900/codenames,7.445,7.54,93925.0,2,8,15,na,1.26
143,Blood on the Clocktower,144,https://boardgamegeek.com/boardgame/240980/blood-on-the-clocktower,7.441,8.33,6161.0,6,21,30,120,3.06
144,Champions of Midgard,145,https://boardgamegeek.com/boardgame/172287/champions-of-midgard,7.441,7.72,17747.0,2,4,60,90,2.62
145,Wonderland's War,146,https://boardgamegeek.com/boardgame/227935/wonderlands-war,7.44,8.09,7577.0,2,5,45,125,3.03
146,Just One,147,https://boardgamegeek.com/boardgame/254640/just-one,7.434,7.6,28860.0,3,7,20,60,1.04
147,PARKS,148,https://boardgamegeek.com/boardgame/266524/parks,7.434,7.66,26489.0,1,5,30,60,2.12
148,Roll for the Galaxy,149,https://boardgamegeek.com/boardgame/132531/roll-for-the-galaxy,7.433,7.59,32165.0,2,5,45,na,2.78
149,The Isle of Cats,150,https://boardgamegeek.com/boardgame/281259/the-isle-of-cats,7.43,7.68,22332.0,1,4,60,90,2.36
150,Voidfall,151,https://boardgamegeek.com/boardgame/337627/voidfall,7.43,8.57,4129.0,1,4,90,240,4.64
151,Pandemic,152,https://boardgamegeek.com/boardgame/30549/pandemic,7.425,7.53,127176.0,2,4,45,na,2.4
152,Rajas of the Ganges,153,https://boardgamegeek.com/boardgame/220877/rajas-of-the-ganges,7.422,7.73,14540.0,2,4,45,75,2.9
153,Targi,154,https://boardgamegeek.com/boardgame/118048/targi,7.421,7.61,24188.0,2,na,60,na,2.34
154,Cartographers,155,https://boardgamegeek.com/boardgame/263918/cartographers,7.42,7.59,30727.0,1,100,30,45,1.87
155,Hadrian's Wall,156,https://boardgamegeek.com/boardgame/304783/hadrians-wall,7.419,7.94,8511.0,1,6,30,60,3.17
156,Res Arcana,157,https://boardgamegeek.com/boardgame/262712/res-arcana,7.417,7.64,22768.0,2,4,30,60,2.64
157,Star Realms,158,https://boardgamegeek.com/boardgame/147020/star-realms,7.414,7.56,45370.0,2,na,20,na,1.92
158,Alchemists,159,https://boardgamegeek.com/boardgame/161970/alchemists,7.412,7.64,23137.0,2,4,120,na,3.92
159,Watergate,160,https://boardgamegeek.com/boardgame/274364/watergate,7.412,7.76,12304.0,2,na,30,60,2.27
160,Ticket to Ride Legacy: Legends of the West,161,https://boardgamegeek.com/boardgame/390092/ticket-to-ride-legacy-legends-of-the-west,7.41,8.73,3291.0,2,5,20,90,2.55
161,Tyrants of the Underdark,162,https://boardgamegeek.com/boardgame/189932/tyrants-of-the-underdark,7.408,7.91,9426.0,2,4,60,na,2.55
162,It's a Wonderful World,163,https://boardgamegeek.com/boardgame/271324/its-a-wonderful-world,7.407,7.66,19770.0,1,5,45,na,2.32
163,Praga Caput Regni,164,https://boardgamegeek.com/boardgame/308765/praga-caput-regni,7.407,7.89,9121.0,1,4,45,150,3.73
164,Undaunted: Normandy,165,https://boardgamegeek.com/boardgame/268864/undaunted-normandy,7.403,7.8,12230.0,2,na,45,60,2.26
165,Ticket to Ride: Europe,166,https://boardgamegeek.com/boardgame/14996/ticket-to-ride-europe,7.402,7.53,77926.0,2,5,30,60,1.92
166,Magic: The Gathering,167,https://boardgamegeek.com/boardgame/463/magic-the-gathering,7.401,7.58,40348.0,2,na,20,na,3.27
167,Kemet,168,https://boardgamegeek.com/boardgame/127023/kemet,7.401,7.65,19400.0,2,5,90,120,3.0
168,Stone Age,169,https://boardgamegeek.com/boardgame/34635/stone-age,7.398,7.52,53300.0,2,4,60,90,2.46
169,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,170,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-the-thames-mu,7.397,7.63,21635.0,1,8,60,120,2.66
170,The Lord of the Rings: The Card Game,171,https://boardgamegeek.com/boardgame/77423/the-lord-of-the-rings-the-card-game,7.396,7.66,24319.0,1,2,30,60,3.22
171,Too Many Bones: Undertow,172,https://boardgamegeek.com/boardgame/235802/too-many-bones-undertow,7.395,8.69,3470.0,1,2,60,180,4.04
172,Endeavor: Age of Sail,173,https://boardgamegeek.com/boardgame/233398/endeavor-age-of-sail,7.395,7.88,9541.0,2,5,60,90,2.84
173,Terraforming Mars: Ares Expedition,174,https://boardgamegeek.com/boardgame/328871/terraforming-mars-ares-expedition,7.392,7.67,18034.0,1,4,45,60,2.92
