,id,name,Link,Min_players,Max_players,Min_duration,Max_duration,Weight
0,224517,Brass: Birmingham,https://boardgamegeek.com/boardgame/224517,2,4,60,120,3.87
1,161936,Pandemic Legacy: Season 1,https://boardgamegeek.com/boardgame/161936,2,4,60,na,2.83
2,342942,Ark Nova,https://boardgamegeek.com/boardgame/342942,1,4,90,150,3.78
3,174430,Gloomhaven,https://boardgamegeek.com/boardgame/174430,1,4,60,120,3.91
4,233078,Twilight Imperium: Fourth Edition,https://boardgamegeek.com/boardgame/233078,3,6,240,480,4.33
5,316554,Dune: Imperium,https://boardgamegeek.com/boardgame/316554,1,4,60,120,3.06
6,167791,Terraforming Mars,https://boardgamegeek.com/boardgame/167791,1,5,120,na,3.27
7,115746,War of the Ring: Second Edition,https://boardgamegeek.com/boardgame/115746,2,4,150,180,4.22
8,187645,Star Wars: Rebellion,https://boardgamegeek.com/boardgame/187645,2,4,180,240,3.74
9,162886,Spirit Island,https://boardgamegeek.com/boardgame/162886,1,4,90,120,4.07
10,291457,Gloomhaven: Jaws of the Lion,https://boardgamegeek.com/boardgame/291457,1,4,30,120,3.64
11,220308,Gaia Project,https://boardgamegeek.com/boardgame/220308,1,4,60,150,4.4
12,397598,Dune: Imperium – Uprising,https://boardgamegeek.com/boardgame/397598,1,6,60,120,3.5
13,12333,Twilight Struggle,https://boardgamegeek.com/boardgame/12333,2,na,120,180,3.61
14,182028,Through the Ages: A New Story of Civilization,https://boardgamegeek.com/boardgame/182028,2,4,120,na,4.44
15,84876,The Castles of Burgundy,https://boardgamegeek.com/boardgame/84876,2,4,30,90,2.97
16,193738,Great Western Trail,https://boardgamegeek.com/boardgame/193738,2,4,75,150,3.7
17,169786,Scythe,https://boardgamegeek.com/boardgame/169786,1,5,90,115,3.45
18,246900,Eclipse: Second Dawn for the Galaxy,https://boardgamegeek.com/boardgame/246900,2,6,60,200,3.64
19,173346,7 Wonders Duel,https://boardgamegeek.com/boardgame/173346,2,na,30,na,2.22
20,28720,Brass: Lancashire,https://boardgamegeek.com/boardgame/28720,2,4,60,120,3.85
21,167355,Nemesis,https://boardgamegeek.com/boardgame/167355,1,5,90,180,3.48
22,266507,Clank! Legacy: Acquisitions Incorporated,https://boardgamegeek.com/boardgame/266507,2,4,90,120,2.73
23,177736,A Feast for Odin,https://boardgamegeek.com/boardgame/177736,1,4,30,120,3.86
24,124361,Concordia,https://boardgamegeek.com/boardgame/124361,2,5,100,na,2.99
